Date,Indicador,Valor
17/2/2016,Temperatura,29
18/2/2016,Temperatura,29.22
19/2/2016,Temperatura,28.44
20/2/2016,Temperatura,28.38
21/2/2016,Temperatura,28.72
22/2/2016,Temperatura,29.33
23/2/2016,Temperatura,28.9
24/2/2016,Temperatura,28.37
25/2/2016,Temperatura,28.51
26/2/2016,Temperatura,28.73
27/2/2016,Temperatura,28.58
28/2/2016,Temperatura,28.1
29/2/2016,Temperatura,27.73
1/3/2016,Temperatura,27.94
2/3/2016,Temperatura,28.1
3/3/2016,Temperatura,28.75
4/3/2016,Temperatura,28.99
5/3/2016,Temperatura,29.33
6/3/2016,Temperatura,28.92
7/3/2016,Temperatura,29.29
8/3/2016,Temperatura,29.6
9/3/2016,Temperatura,29.66
10/3/2016,Temperatura,30
11/3/2016,Temperatura,29.48
12/3/2016,Temperatura,29.66
13/3/2016,Temperatura,29.03
14/3/2016,Temperatura,28.55
15/3/2016,Temperatura,28.1
16/3/2016,Temperatura,29.31
17/3/2016,Temperatura,28.16
18/3/2016,Temperatura,27.52
19/3/2016,Temperatura,29.36
20/3/2016,Temperatura,29.68
21/3/2016,Temperatura,30.17
22/3/2016,Temperatura,29.63
23/3/2016,Temperatura,29.87
24/3/2016,Temperatura,30.02
25/3/2016,Temperatura,30.12
26/3/2016,Temperatura,30.58
27/3/2016,Temperatura,30.82
28/3/2016,Temperatura,30.22
29/3/2016,Temperatura,30.33
30/3/2016,Temperatura,29.73
31/3/2016,Temperatura,29.92
1/4/2016,Temperatura,27.73
2/4/2016,Temperatura,28.63
3/4/2016,Temperatura,30.05
4/4/2016,Temperatura,30.03
5/4/2016,Temperatura,29.88
6/4/2016,Temperatura,30.25
7/4/2016,Temperatura,30.21
8/4/2016,Temperatura,30.11
9/4/2016,Temperatura,30.2
10/4/2016,Temperatura,30.14
11/4/2016,Temperatura,30.17
12/4/2016,Temperatura,29.33
13/4/2016,Temperatura,29.66
14/4/2016,Temperatura,29.18
15/4/2016,Temperatura,29.28
16/4/2016,Temperatura,29.45
17/4/2016,Temperatura,30.16
18/4/2016,Temperatura,29.78
19/4/2016,Temperatura,31.01
20/4/2016,Temperatura,30.53
21/4/2016,Temperatura,30.76
22/4/2016,Temperatura,31.5
23/4/2016,Temperatura,30.18
24/4/2016,Temperatura,30.33
25/4/2016,Temperatura,30.57
26/4/2016,Temperatura,29.24
27/4/2016,Temperatura,28.22
28/4/2016,Temperatura,27.35
29/4/2016,Temperatura,28.69
30/4/2016,Temperatura,28.29
1/5/2016,Temperatura,27.75
2/5/2016,Temperatura,27.56
3/5/2016,Temperatura,26.98
4/5/2016,Temperatura,27.9
5/5/2016,Temperatura,25.99
6/5/2016,Temperatura,26.4
7/5/2016,Temperatura,29.18
8/5/2016,Temperatura,28.85
9/5/2016,Temperatura,28.4
10/5/2016,Temperatura,28.5
11/5/2016,Temperatura,28.53
12/5/2016,Temperatura,29.33
13/5/2016,Temperatura,30.72
14/5/2016,Temperatura,29.84
15/5/2016,Temperatura,29.49
16/5/2016,Temperatura,29.69
17/5/2016,Temperatura,29.33
18/5/2016,Temperatura,27.75
19/5/2016,Temperatura,28.68
20/5/2016,Temperatura,28.17
21/5/2016,Temperatura,29.89
22/5/2016,Temperatura,30.13
23/5/2016,Temperatura,29.2
24/5/2016,Temperatura,30.1
25/5/2016,Temperatura,30.21
26/5/2016,Temperatura,29.83
27/5/2016,Temperatura,27.34
28/5/2016,Temperatura,26.51
29/5/2016,Temperatura,27.5
30/5/2016,Temperatura,26.4
31/5/2016,Temperatura,25.47
1/6/2016,Temperatura,25.84
2/6/2016,Temperatura,26.22
3/6/2016,Temperatura,26.25
4/6/2016,Temperatura,25.94
5/6/2016,Temperatura,24.28
6/6/2016,Temperatura,26.32
7/6/2016,Temperatura,26.19
8/6/2016,Temperatura,26.08
9/6/2016,Temperatura,26.15
10/6/2016,Temperatura,26.35
11/6/2016,Temperatura,24.79
12/6/2016,Temperatura,26.25
13/6/2016,Temperatura,26.83
14/6/2016,Temperatura,25.82
15/6/2016,Temperatura,25.02
16/6/2016,Temperatura,25.89
17/6/2016,Temperatura,26.9
18/6/2016,Temperatura,26.25
19/6/2016,Temperatura,27.88
20/6/2016,Temperatura,27.1
21/6/2016,Temperatura,26.62
22/6/2016,Temperatura,26.65
23/6/2016,Temperatura,26.71
24/6/2016,Temperatura,27.63
25/6/2016,Temperatura,25.93
26/6/2016,Temperatura,27.28
27/6/2016,Temperatura,27.84
28/6/2016,Temperatura,28.33
29/6/2016,Temperatura,28.67
30/6/2016,Temperatura,28.62
1/7/2016,Temperatura,26.12
2/7/2016,Temperatura,25.29
3/7/2016,Temperatura,27.08
4/7/2016,Temperatura,28.14
5/7/2016,Temperatura,28.9
6/7/2016,Temperatura,28.83
7/7/2016,Temperatura,27.62
8/7/2016,Temperatura,28.02
9/7/2016,Temperatura,26.84
10/7/2016,Temperatura,28.35
11/7/2016,Temperatura,26.59
12/7/2016,Temperatura,26.96
13/7/2016,Temperatura,26.16
14/7/2016,Temperatura,27.99
15/7/2016,Temperatura,27.15
16/7/2016,Temperatura,28
17/7/2016,Temperatura,26.92
18/7/2016,Temperatura,25.53
19/7/2016,Temperatura,25.29
20/7/2016,Temperatura,26.55
21/7/2016,Temperatura,28.8
22/7/2016,Temperatura,26.14
23/7/2016,Temperatura,25.6
24/7/2016,Temperatura,27.73
25/7/2016,Temperatura,28.44
26/7/2016,Temperatura,27.68
27/7/2016,Temperatura,28.15
28/7/2016,Temperatura,28.68
29/7/2016,Temperatura,26.52
30/7/2016,Temperatura,25.77
31/7/2016,Temperatura,27.84
1/8/2016,Temperatura,28.81
2/8/2016,Temperatura,27.26
3/8/2016,Temperatura,26.82
4/8/2016,Temperatura,25.79
5/8/2016,Temperatura,26.85
6/8/2016,Temperatura,28.21
7/8/2016,Temperatura,28.21
8/8/2016,Temperatura,26.61
9/8/2016,Temperatura,26.68
10/8/2016,Temperatura,28.18
11/8/2016,Temperatura,26.22
12/8/2016,Temperatura,26.47
13/8/2016,Temperatura,26.89
14/8/2016,Temperatura,25.76
15/8/2016,Temperatura,25.01
16/8/2016,Temperatura,27.3
17/8/2016,Temperatura,27.81
18/8/2016,Temperatura,27.75
19/8/2016,Temperatura,29.11
20/8/2016,Temperatura,28.04
21/8/2016,Temperatura,27.46
22/8/2016,Temperatura,27.99
23/8/2016,Temperatura,28.32
24/8/2016,Temperatura,29.05
25/8/2016,Temperatura,26.93
26/8/2016,Temperatura,26.63
27/8/2016,Temperatura,25.72
28/8/2016,Temperatura,25.96
29/8/2016,Temperatura,25.79
30/8/2016,Temperatura,25.37
31/8/2016,Temperatura,25.45
1/9/2016,Temperatura,25.13
2/9/2016,Temperatura,25.22
3/9/2016,Temperatura,26.96
4/9/2016,Temperatura,27.32
5/9/2016,Temperatura,25.28
6/9/2016,Temperatura,24.32
7/9/2016,Temperatura,25.33
8/9/2016,Temperatura,25.86
9/9/2016,Temperatura,26.65
10/9/2016,Temperatura,25.19
11/9/2016,Temperatura,26.14
12/9/2016,Temperatura,25.39
13/9/2016,Temperatura,25.24
14/9/2016,Temperatura,26.01
15/9/2016,Temperatura,26.03
16/9/2016,Temperatura,26.31
17/9/2016,Temperatura,26.64
18/9/2016,Temperatura,28.34
19/9/2016,Temperatura,28.89
20/9/2016,Temperatura,26.21
21/9/2016,Temperatura,25.29
22/9/2016,Temperatura,26.98
23/9/2016,Temperatura,24.96
24/9/2016,Temperatura,26.41
25/9/2016,Temperatura,26.81
26/9/2016,Temperatura,25.22
27/9/2016,Temperatura,25.68
28/9/2016,Temperatura,27.45
29/9/2016,Temperatura,27.61
30/9/2016,Temperatura,26.98
1/10/2016,Temperatura,26.75
2/10/2016,Temperatura,26.09
3/10/2016,Temperatura,25.37
4/10/2016,Temperatura,25.4
5/10/2016,Temperatura,25.75
6/10/2016,Temperatura,25.88
7/10/2016,Temperatura,25.28
8/10/2016,Temperatura,26.29
9/10/2016,Temperatura,25.7
10/10/2016,Temperatura,26.38
11/10/2016,Temperatura,26.62
12/10/2016,Temperatura,26.26
13/10/2016,Temperatura,25.95
14/10/2016,Temperatura,25.99
15/10/2016,Temperatura,26.45
16/10/2016,Temperatura,25.91
17/10/2016,Temperatura,25.13
18/10/2016,Temperatura,25.08
19/10/2016,Temperatura,23.91
20/10/2016,Temperatura,24.98
21/10/2016,Temperatura,25.71
22/10/2016,Temperatura,26.37
23/10/2016,Temperatura,25.89
24/10/2016,Temperatura,27.83
25/10/2016,Temperatura,26.5
26/10/2016,Temperatura,26.07
27/10/2016,Temperatura,26.18
28/10/2016,Temperatura,25.35
29/10/2016,Temperatura,25.07
30/10/2016,Temperatura,25.33
31/10/2016,Temperatura,26.11
1/11/2016,Temperatura,24.97
2/11/2016,Temperatura,25
3/11/2016,Temperatura,25.96
4/11/2016,Temperatura,26.43
5/11/2016,Temperatura,26.27
6/11/2016,Temperatura,26.67
7/11/2016,Temperatura,26.53
8/11/2016,Temperatura,26.1
9/11/2016,Temperatura,25.81
10/11/2016,Temperatura,26.36
11/11/2016,Temperatura,25.7
12/11/2016,Temperatura,25.95
13/11/2016,Temperatura,25.93
14/11/2016,Temperatura,25.36
15/11/2016,Temperatura,25.43
16/11/2016,Temperatura,25.68
17/11/2016,Temperatura,26.04
18/11/2016,Temperatura,24.47
19/11/2016,Temperatura,25.53
20/11/2016,Temperatura,25.43
21/11/2016,Temperatura,24.6
22/11/2016,Temperatura,24.59
23/11/2016,Temperatura,23.56
24/11/2016,Temperatura,23.2
25/11/2016,Temperatura,25.6
26/11/2016,Temperatura,25.81
27/11/2016,Temperatura,25.4
28/11/2016,Temperatura,25.29
29/11/2016,Temperatura,26.13
30/11/2016,Temperatura,25.18
1/12/2016,Temperatura,26.03
2/12/2016,Temperatura,26.25
3/12/2016,Temperatura,26.04
4/12/2016,Temperatura,23.81
5/12/2016,Temperatura,25.17
6/12/2016,Temperatura,26.27
7/12/2016,Temperatura,25.91
8/12/2016,Temperatura,25.36
9/12/2016,Temperatura,26.55
10/12/2016,Temperatura,25.78
11/12/2016,Temperatura,24.16
12/12/2016,Temperatura,23.92
13/12/2016,Temperatura,25.25
14/12/2016,Temperatura,26.02
15/12/2016,Temperatura,27.16
16/12/2016,Temperatura,27.25
17/12/2016,Temperatura,26.49
18/12/2016,Temperatura,27.38
19/12/2016,Temperatura,26.63
20/12/2016,Temperatura,26.05
21/12/2016,Temperatura,24.88
22/12/2016,Temperatura,26.78
23/12/2016,Temperatura,25.52
24/12/2016,Temperatura,26.37
25/12/2016,Temperatura,26.88
26/12/2016,Temperatura,26.84
27/12/2016,Temperatura,27.27
28/12/2016,Temperatura,26.39
29/12/2016,Temperatura,26.64
30/12/2016,Temperatura,25.77
31/12/2016,Temperatura,25.95
1/1/2017,Temperatura,26.74
2/1/2017,Temperatura,27.73
3/1/2017,Temperatura,26.55
4/1/2017,Temperatura,26.76
5/1/2017,Temperatura,26.15
6/1/2017,Temperatura,26.6
7/1/2017,Temperatura,25.8
8/1/2017,Temperatura,26.83
9/1/2017,Temperatura,25.99
10/1/2017,Temperatura,26.32
11/1/2017,Temperatura,25.97
12/1/2017,Temperatura,26.14
13/1/2017,Temperatura,26.28
14/1/2017,Temperatura,26.38
15/1/2017,Temperatura,26
16/1/2017,Temperatura,26.65
17/1/2017,Temperatura,26.65
18/1/2017,Temperatura,27.19
19/1/2017,Temperatura,26.83
20/1/2017,Temperatura,25.5
21/1/2017,Temperatura,25.51
22/1/2017,Temperatura,24.75
23/1/2017,Temperatura,23.74
24/1/2017,Temperatura,25.07
25/1/2017,Temperatura,25.28
26/1/2017,Temperatura,26.07
27/1/2017,Temperatura,26.65
28/1/2017,Temperatura,28
29/1/2017,Temperatura,27.45
30/1/2017,Temperatura,27.23
31/1/2017,Temperatura,26.92
1/2/2017,Temperatura,27.66
2/2/2017,Temperatura,27.45
3/2/2017,Temperatura,27.42
4/2/2017,Temperatura,27.69
5/2/2017,Temperatura,28.33
6/2/2017,Temperatura,28.37
7/2/2017,Temperatura,28.5
8/2/2017,Temperatura,28.32
9/2/2017,Temperatura,28.44
10/2/2017,Temperatura,28.25
11/2/2017,Temperatura,27.85
12/2/2017,Temperatura,27.2
13/2/2017,Temperatura,27.55
14/2/2017,Temperatura,26.54
15/2/2017,Temperatura,25.77
16/2/2017,Temperatura,26.5
17/2/2017,Temperatura,25.91
18/2/2017,Temperatura,25.54
19/2/2017,Temperatura,26.43
20/2/2017,Temperatura,26.63
21/2/2017,Temperatura,25.98
22/2/2017,Temperatura,26.14
23/2/2017,Temperatura,26.33
24/2/2017,Temperatura,26.07
25/2/2017,Temperatura,25.97
26/2/2017,Temperatura,27.02
27/2/2017,Temperatura,27.84
28/2/2017,Temperatura,28.42
1/3/2017,Temperatura,28.45
2/3/2017,Temperatura,28.02
3/3/2017,Temperatura,27.79
4/3/2017,Temperatura,27.55
5/3/2017,Temperatura,27.7
6/3/2017,Temperatura,28.32
7/3/2017,Temperatura,28.76
8/3/2017,Temperatura,28.44
9/3/2017,Temperatura,28.62
10/3/2017,Temperatura,28.6
11/3/2017,Temperatura,28.68
12/3/2017,Temperatura,29.33
13/3/2017,Temperatura,28.64
14/3/2017,Temperatura,28.89
15/3/2017,Temperatura,28.63
16/3/2017,Temperatura,27.78
17/3/2017,Temperatura,28.16
18/3/2017,Temperatura,27.56
19/3/2017,Temperatura,28.53
